title,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barcelona GSE MFin,0.0,0.0,0.0,2,3,0.0,0.0,2,0.0,0.0
Baruch MFE,3.0,2.0,24.0,43,19,35.0,51.0,49,62.0,24.0
Bocconi MAFINRISK,0.0,0.0,0.0,1,0,0.0,0.0,0,1.0,0.0
Boston MathFin,1.0,2.0,25.0,33,36,41.0,29.0,32,25.0,19.0
Buffalo MSF QF,0.0,0.0,0.0,0,0,1.0,0.0,1,1.0,1.0
CGU MSFE,0.0,2.0,1.0,3,3,0.0,1.0,0,2.0,1.0
CMU MSCF,1.0,11.0,49.0,67,60,59.0,73.0,48,104.0,17.0
Cambridge MPhil Fin,0.0,0.0,0.0,0,1,0.0,0.0,0,0.0,1.0
Cass FinMath,0.0,0.0,1.0,0,0,0.0,1.0,0,0.0,0.0
Chicago MSFM,1.0,5.0,47.0,41,24,40.0,41.0,53,62.0,31.0
Columbia MA Stats,0.0,0.0,2.0,4,0,0.0,4.0,1,4.0,0.0
Columbia MFE,3.0,36.0,69.0,38,41,69.0,88.0,60,86.0,52.0
Columbia MSOR,0.0,2.0,21.0,33,13,22.0,35.0,25,20.0,9.0
Columbia MathFin,1.0,4.0,15.0,34,36,35.0,32.0,52,45.0,24.0
Cornell FE,2.0,5.0,63.0,43,47,50.0,63.0,48,55.0,0.0
EPFL MFE,0.0,0.0,1.0,1,4,1.0,1.0,2,0.0,0.0
FSU FinMath,0.0,0.0,0.0,0,0,2.0,1.0,0,2.0,1.0
Fordham MSQF,0.0,0.0,0.0,2,4,5.0,7.0,4,6.0,10.0
GSU MRM,0.0,0.0,0.0,0,0,1.0,0.0,1,0.0,0.0
Georgia Tech QCF,0.0,0.0,9.0,15,21,36.0,30.0,17,36.0,40.0
HEC Lausanne MScF FE,0.0,0.0,1.0,0,1,0.0,0.0,0,0.0,0.0
IIT MMF,0.0,1.0,2.0,3,2,2.0,0.0,2,2.0,2.0
IIT Stuart MSF,0.0,0.0,1.0,2,6,3.0,0.0,0,1.0,1.0
Imperial MathFin,0.0,1.0,1.0,3,2,3.0,3.0,1,2.0,0.0
Imperial RMFE,0.0,0.0,5.0,2,2,5.0,5.0,5,2.0,2.0
Johns Hopkins FinMath,0.0,0.0,4.0,7,11,15.0,13.0,11,19.0,11.0
LSE Finance,0.0,0.0,1.0,2,1,1.0,1.0,1,2.0,0.0
LSE MFE,0.0,0.0,2.0,1,1,0.0,1.0,1,0.0,0.0
LSE Math Finance,0.0,2.0,7.0,1,2,3.0,2.0,1,2.0,1.0
MIT MFin,0.0,5.0,15.0,59,62,41.0,47.0,49,64.0,33.0
Michigan MFE,1.0,2.0,9.0,18,8,0.0,0.0,0,0.0,0.0
Michigan QFRM,0.0,0.0,0.0,0,0,0.0,1.0,2,8.0,2.0
NCSU FinMath,0.0,0.0,7.0,5,3,2.0,1.0,4,7.0,7.0
NTU MFE,0.0,0.0,3.0,7,7,3.0,2.0,2,5.0,4.0
NUS MFE,0.0,0.0,3.0,8,5,1.0,1.0,0,3.0,3.0
NUS MQF,0.0,0.0,0.0,0,0,0.0,0.0,1,0.0,0.0
NYU MathFin,4.0,17.0,40.0,35,48,38.0,39.0,39,53.0,32.0
NYU Tandon MFE,0.0,2.0,8.0,16,21,28.0,23.0,20,70.0,18.0
Oklahoma MSQFE,0.0,0.0,0.0,0,1,0.0,1.0,0,0.0,0.0
Oxford MCFinance,0.0,1.0,1.0,5,1,5.0,3.0,1,4.0,4.0
Princeton MFin,1.0,14.0,36.0,14,30,18.0,30.0,17,20.0,0.0
Purdue CF,0.0,0.0,1.0,0,3,1.0,1.0,0,0.0,0.0
RPI QFRA,0.0,1.0,0.0,1,2,1.0,3.0,5,3.0,0.0
Rutgers FSRM,0.0,0.0,1.0,1,2,1.0,0.0,1,0.0,0.0
Rutgers MQF,0.0,0.0,3.0,6,4,4.0,12.0,11,18.0,13.0
Rutgers MSMF,1.0,1.0,10.0,23,14,14.0,13.0,8,5.0,3.0
SMU MQF,0.0,0.0,0.0,4,5,0.0,1.0,1,1.0,1.0
Stanford FinMath,1.0,8.0,22.0,6,5,14.0,8.0,10,10.0,4.0
