title,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Barcelona GSE MFin,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Baruch MFE,0.6666666666666666,0.5,0.25,0.4186046511627907,0.15789473684210525,0.4,0.2549019607843137,0.3673469387755102,0.22580645161290322,0.4166666666666667
Bocconi MAFINRISK,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Boston MathFin,1.0,1.0,0.68,0.7272727272727273,0.5555555555555556,0.6829268292682927,0.5862068965517241,0.53125,0.6,0.42105263157894735
Buffalo MSF QF,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
CGU MSFE,0.0,1.0,1.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,1.0
CMU MSCF,1.0,0.6363636363636364,0.5102040816326531,0.5223880597014925,0.5166666666666667,0.4576271186440678,0.5753424657534246,0.5208333333333334,0.46153846153846156,0.23529411764705882
Cambridge MPhil Fin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cass FinMath,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Chicago MSFM,1.0,0.8,0.6595744680851063,0.7317073170731707,0.5,0.65,0.5365853658536586,0.5471698113207547,0.5161290322580645,0.5483870967741935
Columbia MA Stats,0.0,0.0,1.0,0.25,0.0,0.0,0.75,0.0,0.25,0.0
Columbia MFE,0.6666666666666666,0.5,0.4057971014492754,0.42105263157894735,0.3902439024390244,0.42028985507246375,0.375,0.4666666666666667,0.45348837209302323,0.40384615384615385
Columbia MSOR,0.0,1.0,0.7142857142857143,0.6666666666666666,0.6153846153846154,0.5909090909090909,0.6,0.72,0.7,0.5555555555555556
Columbia MathFin,1.0,0.75,0.4,0.5882352941176471,0.7777777777777778,0.42857142857142855,0.4375,0.5961538461538461,0.4888888888888889,0.5
Cornell FE,1.0,0.8,0.5238095238095238,0.5813953488372093,0.46808510638297873,0.46,0.5238095238095238,0.3958333333333333,0.5454545454545454,0.0
EPFL MFE,0.0,0.0,1.0,1.0,0.25,1.0,1.0,0.5,0.0,0.0
FSU FinMath,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,1.0
Fordham MSQF,0.0,0.0,0.0,1.0,0.25,0.8,0.7142857142857143,1.0,0.5,0.7
GSU MRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Georgia Tech QCF,0.0,0.0,0.5555555555555556,0.7333333333333333,0.6190476190476191,0.5277777777777778,0.5666666666666667,0.5882352941176471,0.4444444444444444,0.55
HEC Lausanne MScF FE,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
IIT MMF,0.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.0,1.0,1.0,1.0
IIT Stuart MSF,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0
Imperial MathFin,0.0,0.0,0.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.0,0.5,0.0
Imperial RMFE,0.0,0.0,0.8,0.5,1.0,1.0,0.6,0.8,1.0,0.5
Johns Hopkins FinMath,0.0,0.0,0.5,0.5714285714285714,0.5454545454545454,0.4,0.38461538461538464,0.7272727272727273,0.3157894736842105,0.7272727272727273
LSE Finance,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5,0.0
LSE MFE,0.0,0.0,0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0
LSE Math Finance,0.0,1.0,0.42857142857142855,0.0,0.5,0.6666666666666666,1.0,0.0,1.0,0.0
MIT MFin,0.0,0.8,0.4666666666666667,0.3728813559322034,0.25806451612903225,0.3170731707317073,0.3829787234042553,0.3469387755102041,0.25,0.2727272727272727
Michigan MFE,0.0,1.0,0.6666666666666666,0.6666666666666666,0.375,0.0,0.0,0.0,0.0,0.0
Michigan QFRM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.625,1.0
NCSU FinMath,0.0,0.0,0.5714285714285714,0.4,1.0,1.0,1.0,0.75,0.7142857142857143,1.0
NTU MFE,0.0,0.0,0.3333333333333333,0.2857142857142857,0.5714285714285714,0.3333333333333333,0.5,0.0,0.2,0.5
NUS MFE,0.0,0.0,0.6666666666666666,1.0,0.6,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333
NUS MQF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NYU MathFin,0.5,0.35294117647058826,0.25,0.4,0.4166666666666667,0.3157894736842105,0.358974358974359,0.3333333333333333,0.39622641509433965,0.375
NYU Tandon MFE,0.0,1.0,0.75,0.8125,0.7619047619047619,0.7857142857142857,0.6086956521739131,0.5,0.7285714285714285,0.3333333333333333
Oklahoma MSQFE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Oxford MCFinance,0.0,1.0,1.0,0.8,1.0,0.2,1.0,1.0,0.5,0.5
Princeton MFin,0.0,0.21428571428571427,0.19444444444444445,0.0,0.2,0.16666666666666666,0.3,0.11764705882352941,0.1,0.0
Purdue CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPI QFRA,0.0,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.6,0.6666666666666666,0.0
Rutgers FSRM,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
Rutgers MQF,0.0,0.0,1.0,0.8333333333333334,1.0,1.0,0.9166666666666666,1.0,0.8333333333333334,0.7692307692307693
Rutgers MSMF,1.0,1.0,0.6,0.6086956521739131,0.6428571428571429,0.6428571428571429,0.8461538461538461,0.875,0.6,1.0
SMU MQF,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Stanford FinMath,0.0,0.125,0.13636363636363635,0.3333333333333333,0.0,0.07142857142857142,0.125,0.2,0.1,0.0
Stevens MFE,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stony Brook QF,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Temple MFE,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
Toronto MathFin,1.0,0.5,0.75,0.25,0.5555555555555556,0.5454545454545454,0.3333333333333333,0.3333333333333333,0.38461538461538464,0.0
U of Miami MSMF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
UCB MFE,0.0,0.0,0.5,0.5555555555555556,0.5263157894736842,0.4864864864864865,0.5666666666666667,0.6111111111111112,0.7037037037037037,0.3783783783783784
UCLA MFE,0.0,0.0,1.0,0.875,0.5294117647058824,0.5,0.4583333333333333,0.5217391304347826,0.7368421052631579,0.5
UConn FinMath,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.6666666666666666,0.0,0.0
UIUC MFE,0.0,0.0,0.8,1.0,0.8461538461538461,0.6363636363636364,0.6086956521739131,0.8,0.6842105263157895,0.8888888888888888
UMN MFM,0.0,1.0,0.0,1.0,0.75,0.5,0.25,1.0,1.0,1.0
UNC Charlotte MathFin,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
USC MFE,0.0,0.0,1.0,0.5555555555555556,0.6111111111111112,0.375,0.8571428571428571,0.6666666666666666,0.4666666666666667,0.6666666666666666
USC MathFin,0.0,0.0,0.5,0.5,0.6666666666666666,0.0,0.5,1.0,0.3333333333333333,0.0
UW Seattle CompFin,0.0,0.0,0.0,0.0,0.5714285714285714,0.5357142857142857,0.45454545454545453,0.6153846153846154,0.42857142857142855,0.6666666666666666
UZH ETH in Quant Fin,0.0,0.0,0.0,0.0,0.5,1.0,1.0,1.0,0.0,0.0
WU St Louis Quant Fin,0.0,0.0,1.0,1.0,0.6666666666666666,0.25,0.0,0.5,0.0,1.0
WU Vienna Quant Fin,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Warwick FinMath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waterloo MQF,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,1.0,0.5
