,title,date,Type,GPA,GREQ,GREV,GREAWA,Status
0,UCB MFE,2018-11-03,Full time,3.08,170,156,3.5,Pending
1,Georgia Tech QCF,2018-09-26,Part time,3.8,170,161,3.5,Accepted
2,Boston MathFin,2018-11-13,Full time,2.68,168,149,3.5,Pending
3,UCB MFE,2018-09-26,Full time,3.6,170,150,3.0,Pending
4,UCB MFE,2018-10-02,Full time,3.7,168,160,5.0,Pending
5,UCB MFE,2018-10-27,Full time,3.9,170,160,3.5,Accepted
7,UCB MFE,2018-09-19,Full time,3.6,168,155,4.0,Declined
8,Georgia Tech QCF,2018-09-30,Full time,3.59,167,161,4.5,Accepted
9,UCB MFE,2018-10-03,Full time,3.6,169,159,3.5,Pending
10,UCB MFE,2018-10-02,Full time,3.5,169,152,4.0,Pending
11,UCB MFE,2018-10-02,Full time,3.8,167,154,3.5,Pending
12,UCB MFE,2018-09-27,Full time,3.4,155,170,3.5,Pending
13,UCB MFE,2018-10-02,Full time,3.9,170,160,3.5,Pending
14,UCB MFE,2018-09-14,Full time,3.5,170,164,4.0,Pending
15,NYU MathFin,2018-02-08,Full time,3.65,170,160,5.0,Declined
16,Columbia MathFin,2017-01-16,Full time,3.55,167,160,3.5,Declined
17,Columbia MFE,2018-01-03,Full time,3.76,170,159,4.0,Declined
18,Georgia Tech QCF,2018-01-11,Full time,3.76,170,159,4.0,Accepted
19,NYU MathFin,2018-01-15,Full time,3.76,170,159,4.0,Declined
20,MIT MFin,2017-12-25,Full time,3.76,170,159,4.0,Declined
21,NTU MFE,2018-01-02,Full time,3.5,166,155,4.0,Pending
22,Imperial RMFE,2018-01-14,Full time,3.5,166,155,4.0,Declined
23,CMU MSCF,2018-01-02,Full time,3.5,166,155,4.0,Declined
24,IIT MMF,2018-02-22,Full time,3.5,166,155,4.0,Accepted
25,Georgia Tech QCF,2018-02-14,Full time,3.22,166,155,4.0,Accepted
26,Columbia MFE,2018-01-04,Full time,3.5,166,155,4.0,Declined
27,NUS MFE,2018-03-09,Full time,3.64,165,159,5.0,Accepted
28,Chicago MSFM,2018-03-02,Full time,3.84,166,157,4.0,Declined
