,date
0,11/13/18
1,10/24/18
2,11/29/18
3,11/13/18
4,10/3/18
5,12/29/18
6,2/9/17
7,11/28/18
8,9/14/18
9,10/3/18
10,10/2/18
11,10/2/18
12,11/3/18
13,9/26/18
14,9/26/18
15,10/27/18
16,10/7/18
17,9/30/18
18,9/27/18
19,10/2/18
20,2/8/18
21,1/16/17
22,1/3/18
23,1/11/18
24,1/15/18
25,12/25/17
26,1/2/18
27,1/14/18
28,1/2/18
29,2/22/18
30,2/14/18
31,1/4/18
32,3/9/18
33,3/2/18
34,1/9/18
35,3/1/18
36,1/31/18
37,11/30/17
38,12/28/17
39,12/29/17
40,12/29/17
41,12/14/17
42,11/29/17
43,1/1/18
44,1/3/18
45,1/2/18
46,2/6/18
47,12/1/17
48,12/20/17
49,1/4/18
50,1/9/18
51,2/28/18
52,1/9/18
53,1/31/18
54,2/3/18
55,4/3/18
56,3/14/18
57,4/3/18
58,4/3/18
59,1/12/18
60,1/14/18
61,1/15/18
62,4/3/18
63,12/13/17
64,4/3/18
65,4/26/18
66,2/1/18
67,1/14/18
68,10/6/17
69,4/1/18
70,3/29/18
71,1/9/18
72,3/9/18
73,11/29/17
74,12/31/17
75,2/26/18
76,3/13/18
77,2/1/13
78,4/19/18
79,2/15/18
80,1/14/18
81,3/29/18
82,12/21/17
83,12/14/17
84,2/13/18
85,1/18/18
86,12/27/17
87,3/14/18
88,3/14/18
89,1/30/18
90,2/14/18
91,12/14/17
92,4/26/18
93,4/14/18
94,1/18/18
95,12/31/17
96,1/2/18
97,2/28/18
98,11/30/17
99,3/14/18
100,2/12/18
101,3/2/18
102,3/13/18
103,2/14/18
104,4/13/18
105,3/14/18
106,3/14/18
107,3/7/18
108,12/21/17
109,1/23/18
110,3/14/18
111,3/7/18
112,3/9/18
113,3/1/18
114,12/14/17
115,2/7/18
116,3/8/18
117,3/14/18
118,3/9/18
119,12/14/17
120,12/12/17
121,12/14/17
122,1/17/18
123,1/5/18
124,1/6/18
125,11/30/17
126,2/12/18
127,11/30/17
128,11/29/17
129,12/29/17
130,12/14/17
131,1/13/18
132,4/3/18
133,1/9/18
134,2/14/18
135,1/30/18
136,3/14/18
137,3/9/18
138,2/14/18
139,3/4/18
140,3/20/18
141,2/28/18
142,1/13/18
143,1/8/18
144,4/14/18
145,10/18/17
146,2/15/18
147,2/14/18
148,3/27/18
149,2/7/18
150,1/2/18
151,1/31/18
152,2/14/18
153,2/7/18
154,3/14/18
155,2/8/18
156,12/30/17
157,3/31/18
158,3/5/18
159,1/14/18
160,12/14/17
161,2/14/18
162,1/14/18
163,1/16/18
164,12/17/17
165,12/27/17
166,12/19/17
167,1/9/18
168,1/31/18
169,3/30/18
170,3/14/18
171,4/15/18
172,3/14/18
173,1/31/18
174,2/27/18
175,2/7/18
176,3/14/18
177,3/2/18
178,1/6/13
179,1/11/18
180,11/28/17
181,1/14/18
182,1/14/18
183,1/14/18
184,1/14/18
185,3/9/18
186,1/14/18
187,3/5/18
188,1/2/18
189,2/9/18
190,1/9/18
191,3/14/18
192,1/13/18
193,2/15/18
194,2/22/18
195,3/30/18
196,2/14/18
197,1/14/18
198,11/30/17
199,3/31/18
200,3/30/18
201,1/31/18
202,11/12/17
203,1/30/18
204,1/5/18
205,11/30/17
206,3/12/18
207,11/29/17
208,11/30/17
209,1/13/18
210,11/30/17
211,11/30/17
212,11/29/17
213,1/8/18
214,12/30/17
215,2/24/18
216,11/29/17
217,12/24/17
218,2/13/18
219,1/3/18
220,12/21/17
221,12/14/17
222,12/30/17
223,2/14/18
224,3/14/18
225,1/14/18
226,1/1/18
227,1/14/18
228,2/14/18
229,1/4/18
230,2/14/18
231,1/4/18
232,2/26/18
233,3/28/18
234,12/4/17
235,10/14/17
236,2/27/18
237,2/14/18
238,12/27/17
239,1/4/18
240,12/23/17
241,11/9/17
242,2/7/18
243,12/26/17
244,12/30/17
245,12/23/17
246,1/4/18
247,1/4/18
248,1/31/18
249,1/4/18
250,1/3/18
251,1/9/18
252,12/5/17
253,11/30/17
254,1/4/18
255,12/19/17
256,12/27/17
257,1/2/18
258,1/3/18
259,12/14/17
260,12/14/17
261,2/7/18
262,1/26/18
263,10/14/17
264,2/27/18
265,12/22/17
266,2/13/18
267,12/29/17
268,12/12/17
269,12/12/17
270,12/13/17
271,1/2/18
272,12/14/17
273,12/14/17
274,11/29/17
275,1/14/18
276,12/14/17
277,3/15/18
278,2/28/18
279,1/31/18
280,12/28/17
281,2/24/18
282,1/23/18
283,11/30/17
284,3/14/18
285,11/10/17
286,12/12/17
287,12/12/17
288,3/14/18
289,1/14/18
290,1/18/18
291,1/4/18
292,11/14/17
293,1/23/18
294,1/21/18
295,3/9/18
296,2/13/18
297,1/30/18
298,2/24/18
299,2/7/18
300,1/2/18
301,1/15/18
302,1/9/18
303,1/31/18
304,1/14/18
305,12/18/17
306,2/6/18
307,1/4/18
308,1/14/18
309,1/14/18
310,1/18/18
311,1/23/18
312,1/30/18
313,12/4/17
314,1/23/18
315,1/23/18
316,1/23/18
317,1/23/18
318,1/23/18
319,2/12/18
320,2/7/18
321,3/14/18
322,2/7/18
323,1/4/18
324,1/20/18
325,1/4/18
326,1/16/18
327,1/31/18
328,2/6/18
329,2/8/18
330,3/12/18
331,10/1/17
332,1/1/18
333,1/3/18
334,1/3/18
335,1/4/18
336,12/27/17
337,12/30/17
338,1/14/18
339,2/14/18
340,1/30/18
341,12/11/17
342,1/4/18
343,1/2/18
344,1/3/18
345,4/1/18
346,1/5/18
347,12/31/17
348,1/4/18
349,2/25/18
350,1/13/18
351,1/13/18
352,12/7/17
353,1/2/18
354,1/2/18
355,1/8/18
356,1/5/18
357,1/13/18
358,1/31/18
359,1/13/18
360,2/14/18
361,1/31/18
362,12/14/17
363,2/26/18
364,11/6/17
365,2/28/18
366,2/28/18
367,2/28/18
368,2/28/18
369,2/11/18
370,2/7/18
371,2/14/18
372,9/30/17
373,11/25/17
374,10/21/17
375,9/30/17
376,9/30/17
377,10/21/17
378,1/30/18
379,1/5/18
380,1/27/18
381,1/30/18
382,3/14/18
383,1/14/18
384,1/7/18
385,1/14/18
386,1/11/18
387,12/7/17
388,1/4/18
389,1/4/18
390,1/4/18
391,1/4/18
392,12/26/17
393,1/4/18
394,10/19/17
395,12/21/17
396,1/23/18
397,11/1/17
398,1/14/18
399,2/13/18
400,2/13/18
401,11/13/17
402,12/14/17
403,1/5/18
404,11/14/17
405,10/14/17
406,1/6/18
407,12/14/17
408,12/13/17
409,1/20/18
410,1/1/18
411,1/4/18
412,1/15/18
413,1/16/18
414,1/2/18
415,12/14/17
416,1/3/18
417,12/19/17
418,1/14/18
419,1/5/18
420,3/13/18
421,2/2/18
422,12/14/17
423,12/30/17
424,1/15/18
425,1/16/18
426,1/4/18
427,1/2/18
428,12/7/17
429,1/2/18
430,1/4/18
431,1/31/18
432,1/4/18
433,12/12/17
434,3/11/18
435,1/4/18
436,1/4/18
437,12/30/17
438,2/6/18
439,12/30/17
440,12/24/17
441,12/18/17
442,12/13/17
443,11/29/17
444,1/4/18
445,1/1/18
446,2/1/18
447,12/1/17
448,1/1/18
449,12/30/17
450,11/30/17
451,11/28/17
452,1/17/18
453,1/8/18
454,1/18/18
455,12/2/17
456,1/29/18
457,1/14/18
458,1/25/18
459,2/8/18
460,1/2/18
461,2/12/18
462,12/7/17
463,12/21/17
464,1/4/18
465,1/29/18
466,1/3/18
467,12/28/17
468,2/16/18
469,1/30/18
470,11/29/17
471,1/14/18
472,12/14/17
473,1/20/18
474,1/22/18
475,1/9/18
476,1/15/18
477,2/15/18
478,1/12/18
479,1/15/18
480,12/14/17
481,1/28/18
482,12/9/17
483,1/27/18
484,1/13/18
485,1/26/18
486,1/31/18
487,10/14/17
488,12/14/17
489,11/30/17
490,11/29/17
491,1/4/18
492,11/30/17
493,11/23/17
494,12/12/17
495,12/13/17
496,11/30/17
497,11/30/17
498,11/29/17
499,12/14/17
500,1/14/18
501,1/19/18
502,10/31/17
503,12/14/17
504,1/14/18
505,12/23/17
506,1/2/18
507,11/29/17
508,12/15/17
509,12/13/17
510,12/23/17
511,12/14/17
512,1/31/18
513,1/15/18
514,1/2/18
515,12/14/17
516,1/11/18
517,12/4/17
518,12/5/17
519,12/5/17
520,12/6/17
521,2/7/17
522,11/30/16
523,12/13/16
524,1/8/17
525,2/13/17
526,1/4/17
527,2/19/17
528,1/14/17
529,1/22/18
530,1/9/18
531,1/23/18
532,1/14/18
533,1/18/18
534,1/9/18
535,3/7/18
536,2/7/18
537,1/4/18
538,1/9/18
539,2/26/18
540,1/21/18
541,12/14/17
542,1/9/18
543,12/29/17
544,12/14/17
545,1/9/18
546,1/8/18
547,10/11/17
548,11/14/17
549,12/7/17
550,1/14/18
551,1/8/18
552,1/14/18
553,1/1/18
554,1/14/18
555,1/18/18
556,1/3/18
557,12/14/17
558,12/21/17
559,12/11/17
560,12/14/17
561,12/14/17
562,12/17/17
563,1/2/18
564,11/29/17
565,12/17/17
566,12/10/17
567,12/27/17
568,12/14/17
569,12/14/17
570,12/10/17
571,1/3/18
572,1/17/18
573,12/30/17
574,12/9/17
575,12/7/17
576,1/3/18
577,12/12/17
578,1/9/18
579,12/7/17
580,12/14/17
581,1/12/18
582,1/14/18
583,12/14/17
584,12/13/17
585,1/1/18
586,12/19/17
587,12/14/17
588,1/3/18
589,1/3/18
