,GPA,GREQ,GREV,GREAWA
0,7.7/10,170,156,3.5
1,3.8,170,161,3.5
2,6.7/10,168,149,3.5
3,3.6,170,150,3
4,3.7,168,160,5
5,3.9,170,160,3.5
6,N/A,800,620,N/A
7,3.6,168,155,4
8,3.59,167,161,4.5
9,3.6/4,169,159,3.5
10,3.5,169,152,4.0
11,3.8,167,154,3.5
12,85,155,170,3.5
13,3.9,170,160,3.5
14,3.5,170,164,4
15,3.65,170,160,5.0
16,3.55,167,160,3.5
17,3.76,170,159,4
18,3.76,170,159,4
19,3.76,170,159,4
20,3.76,170,159,4
21,3.5,166,155,4
22,3.5,166,155,4
23,3.5,166,155,4
24,3.5,166,155,4
25,8.05/10,166,155,4
26,3.5,166,155,4
27,3.64,165,159,5
28,3.84,166,157,4
29,3.51,170,153,3
30,3.6,170,160,5.0
31,3.82,170,157,3
32,3.95,159,168,4
33,3.17,164,160,5
34,3.94,170,157,3.5
35,3.94,170,157,3.5
36,3.94,170,157,3.5
37,3.94,170,157,3.5
38,3.94,170,157,3.5
39,3.94,170,157,3.5
40,3.94,170,157,3.5
41,9.09,163,155,4
42,3.35,166,153,4.5
43,3.88,169,163,4.0
44,3.86,169,154,4
45,9.09,163,155,4
46,83.5/100,170,151,3
47,3.7,166,156,3.5
48,3.41,170,142,4.0
49,3.5,168,161,6
50,3.66,169,165,4.0
51,3.77,170,162,3.0
52,3.77,170,162,3.0
53,3.67,170,58,4
54,3.9045,169,157,3
55,83.5/100,170,151,3
56,3.81,167,157,4.5
57,3.44,170,155,4
58,3.98,169,160,4.5
59,3.8,169,164,4.0
60,3.83,170,161,3.5
61,3.91,168,157,4
62,3.54,170,156,3
63,3.8,170,143,3.5
64,3.9,,,Na
65,3.61,,,Took GMAT
66,3.83,168,163,4
67,3.53,168,154,3.5
68,3.83,170,161,3.5
69,3.83,170,161,3.5
70,3.81,164,155,3
71,3.81,164,155,3
72,3.42,163,167,4.0
73,3.69,167,156,5
74,3.91,170,154,3
75,3.86,169,154,4
76,3.5,161,157,4
77,3.5,168,161,3.5
78,3.92,170,153,4.5
79,3.86,170,162,4.5
