,title
0,UCB MFE
1,Georgia Tech QCF
2,Boston MathFin
3,UCB MFE
4,UCB MFE
5,UCB MFE
6,UCB MFE
7,UCB MFE
8,Georgia Tech QCF
9,UCB MFE
10,UCB MFE
11,UCB MFE
12,UCB MFE
13,UCB MFE
14,UCB MFE
15,NYU MathFin
16,Columbia MathFin
17,Columbia MFE
18,Georgia Tech QCF
19,NYU MathFin
20,MIT MFin
21,NTU MFE
22,Imperial RMFE
23,CMU MSCF
24,IIT MMF
25,Georgia Tech QCF
26,Columbia MFE
27,NUS MFE
28,Chicago MSFM
29,UCLA MFE
30,CMU MSCF
31,Boston MathFin
32,NYU MathFin
33,NTU MFE
34,Columbia MathFin
35,Chicago MSFM
36,CMU MSCF
37,Cornell FE
38,NYU MathFin
39,Columbia MFE
40,MIT MFin
41,NYU Tandon MFE
42,NYU Tandon MFE
43,Columbia MFE
44,Columbia MFE
45,Rutgers MQF
46,UCLA MFE
47,UCLA MFE
48,Rutgers MQF
49,UCB MFE
50,UCB MFE
51,CMU MSCF
52,UCB MFE
53,UCB MFE
54,Georgia Tech QCF
55,Columbia MathFin
56,USC MFE
57,UCB MFE
58,CMU MSCF
59,UCB MFE
60,UCB MFE
61,NYU MathFin
62,Baruch MFE
63,Baruch MFE
64,Baruch MFE
65,Baruch MFE
66,Columbia MFE
67,CMU MSCF
68,Cornell FE
69,Chicago MSFM
70,NYU Tandon MFE
71,Chicago MSFM
72,Boston MathFin
73,UCLA MFE
74,Georgia Tech QCF
75,Georgia Tech QCF
76,UCLA MFE
77,UIUC MFE
78,Toronto MathFin
79,Georgia Tech QCF
80,UIUC MFE
81,Chicago MSFM
82,Chicago MSFM
83,CMU MSCF
84,Boston MathFin
85,Chicago MSFM
86,Chicago MSFM
87,Columbia MathFin
88,Chicago MSFM
89,NYU MathFin
90,Chicago MSFM
91,Chicago MSFM
92,UCLA MFE
93,Cornell FE
94,CMU MSCF
95,LSE Math Finance
96,CMU MSCF
97,Fordham MSQF
98,NYU Tandon MFE
99,Fordham MSQF
100,Georgia Tech QCF
101,CMU MSCF
102,CMU MSCF
103,Chicago MSFM
104,UCB MFE
105,CMU MSCF
106,CMU MSCF
107,UCLA MFE
108,CMU MSCF
109,CMU MSCF
110,NYU MathFin
111,Oxford MCFinance
112,CMU MSCF
113,NYU MathFin
114,CMU MSCF
115,CMU MSCF
116,CMU MSCF
117,NYU Tandon MFE
118,Columbia MathFin
119,MIT MFin
120,Cornell FE
121,Columbia MathFin
122,Cornell FE
123,Cornell FE
124,Princeton MFin
125,CMU MSCF
126,USC MFE
127,Columbia MathFin
128,Georgia Tech QCF
129,Georgia Tech QCF
130,NTU MFE
131,Georgia Tech QCF
132,UCLA MFE
133,Baruch MFE
134,UCB MFE
135,Baruch MFE
136,NYU Tandon MFE
137,UIUC MFE
138,Rutgers MSMF
139,Chicago MSFM
140,Baruch MFE
141,WU St Louis Quant Fin
142,Georgia Tech QCF
143,Baruch MFE
144,NYU MathFin
145,Chicago MSFM
146,Boston MathFin
147,Baruch MFE
148,NYU MathFin
149,Chicago MSFM
150,Baruch MFE
151,MIT MFin
152,Baruch MFE
153,UCLA MFE
154,Georgia Tech QCF
155,NYU Tandon MFE
156,Columbia MSOR
157,Johns Hopkins FinMath
158,USC MFE
159,Columbia MFE
160,UIUC MFE
161,USC MFE
162,Columbia MathFin
163,NCSU FinMath
164,IIT Stuart MSF
165,Georgia Tech QCF
166,Fordham MSQF
167,Chicago MSFM
168,Boston MathFin
169,Fordham MSQF
170,NYU MathFin
171,Georgia Tech QCF
172,CMU MSCF
173,MIT MFin
174,Georgia Tech QCF
175,Cornell FE
176,Georgia Tech QCF
177,Georgia Tech QCF
178,Georgia Tech QCF
179,Georgia Tech QCF
180,UCLA MFE
181,Georgia Tech QCF
182,Stevens MFE
183,Columbia MFE
184,Baruch MFE
185,USC MFE
186,UIUC MFE
187,Georgia Tech QCF
188,Rutgers MQF
189,UIUC MFE
190,Georgia Tech QCF
191,Boston MathFin
192,Georgia Tech QCF
193,Cornell FE
194,Baruch MFE
195,Baruch MFE
196,UNC Charlotte MathFin
197,Cornell FE
198,Columbia MathFin
199,Columbia MFE
200,Cornell FE
201,Georgia Tech QCF
202,Cornell FE
203,Cornell FE
204,Johns Hopkins FinMath
205,Cornell FE
206,Cornell FE
207,Cornell FE
208,Columbia MFE
209,LSE Finance
210,Columbia MathFin
211,Rutgers MQF
212,Columbia MathFin
213,Georgia Tech QCF
214,Columbia MFE
215,NCSU FinMath
216,CMU MSCF
217,Columbia MFE
218,NYU Tandon MFE
219,Chicago MSFM
220,UCLA MFE
221,Chicago MSFM
222,Georgia Tech QCF
223,NYU Tandon MFE
224,Columbia MFE
225,Rutgers MQF
226,Columbia MFE
227,NYU Tandon MFE
228,Baruch MFE
229,Columbia MFE
230,Columbia MathFin
231,NTU MFE
232,NYU Tandon MFE
233,Columbia MFE
234,Columbia MFE
235,Columbia MFE
236,Columbia MFE
237,Boston MathFin
238,Columbia MFE
239,Columbia MFE
240,Columbia MFE
